"gene"	"KO"
"10_GL0040922"	"K01961"
"10_GL0040924"	"K01966"
"10_GL0042257"	"K01847"
"10_GL0042817"	"K00656"
"10_GL0043791"	"K00925"
"10_GL0043792"	"K00625"
"10_GL0044324"	"K00005"
"10_GL0044929"	"K00016"
"10_GL0045459"	"K01734"
"10_GL0047232"	"K01895"
"10_GL0051261"	"K00016"
"10_GL0052840"	"K01734"
"10_GL0053186"	"K01847"
"10_GL0053187"	"K01847"
"10_GL0054035"	"K00086"
"10_GL0054037"	"K00140"
"10_GL0054459"	"K05606"
"10_GL0054460"	"K01966"
"10_GL0054551"	"K00248"
"10_GL0054714"	"K08325"
"10_GL0056054"	"K00626"
"10_GL0056057"	"K00248"
"10_GL0056635"	"K00625"
"10_GL0056851"	"K01966"
"10_GL0056852"	"K05606"
"10_GL0057203"	"K00625"
"10_GL0057204"	"K00925"
"10_GL0058034"	"K01966"
"10_GL0058331"	"K00625"
"10_GL0059170"	"K11381"
"10_GL0059173"	"K00382"
"10_GL0059857"	"K11263"
"10_GL0060053"	"K01734"
"10_GL0061318"	"K00016"
"10_GL0066677"	"K01734"
"10_GL0066719"	"K01847"
"10_GL0066720"	"K01847"
"10_GL0067315"	"K00016"
"10_GL0069558"	"K08325"
"10_GL0069559"	"K08325"
"10_GL0069720"	"K01026"
"10_GL0069778"	"K00656"
"10_GL0069779"	"K00656"
"10_GL0070059"	"K00656"
"10_GL0070621"	"K00248"
"10_GL0070624"	"K00626"
"10_GL0070901"	"K00656"
"10_GL0071176"	"K05606"
"10_GL0071177"	"K01966"
"10_GL0071179"	"K11263"
"10_GL0074283"	"K00656"
"10_GL0074477"	"K00172"
"10_GL0074478"	"K00171"
"10_GL0074479"	"K00169"
"10_GL0074501"	"K00656"
"10_GL0075549"	"K01966"
"10_GL0077669"	"K00656"
"10_GL0081453"	"K01895"
"10_GL0082320"	"K00656"
"10_GL0084700"	"K01847"
"10_GL0085524"	"K01734"
"10_GL0085821"	"K01902"
"10_GL0085822"	"K01903"
"10_GL0086034"	"K00625"
"10_GL0086450"	"K00086"
"10_GL0087359"	"K00625"
"10_GL0088097"	"K01734"
"10_GL0089462"	"K00625"
"10_GL0091212"	"K01895"
"10_GL0092057"	"K00925"
"10_GL0092392"	"K05606"
"10_GL0093709"	"K01847"
"10_GL0093710"	"K01847"
"10_GL0094085"	"K05606"
"10_GL0094113"	"K11263"
"10_GL0094687"	"K00925"
"10_GL0095432"	"K01847"
"10_GL0095433"	"K01847"
"10_GL0095792"	"K01961"
"10_GL0095793"	"K01962;K01963"
"10_GL0096928"	"K02160"
"10_GL0097033"	"K02160"
"10_GL0098873"	"K00656"
"10_GL0098875"	"K00656"
"11_GL0000238"	"K00248"
"11_GL0001549"	"K01734"
"11_GL0002429"	"K01734"
"11_GL0002763"	"K01961"
"11_GL0002765"	"K02160"
"11_GL0003089"	"K00625"
"11_GL0003183"	"K01734"
"11_GL0004412"	"K00656"
"11_GL0005289"	"K00656"
"11_GL0005642"	"K00169"
"11_GL0006118"	"K01734"
"11_GL0006944"	"K00626"
"11_GL0010651"	"K00248"
"11_GL0010896"	"K00625"
"11_GL0011631"	"K00171"
"11_GL0012148"	"K01966"
"11_GL0013366"	"K00016"
"11_GL0013417"	"K00248"
"11_GL0013728"	"K00248"
"11_GL0013879"	"K00016"
"11_GL0014733"	"K01961"
"11_GL0014734"	"K01962;K01963"
"11_GL0015207"	"K00170"
"11_GL0015854"	"K00048"
"11_GL0016426"	"K00925"
"11_GL0016624"	"K01966"
"11_GL0016930"	"K01962;K01963"
"11_GL0017604"	"K00248"
"11_GL0019119"	"K15024"
"11_GL0019964"	"K00925"
"11_GL0021477"	"K00248"
"11_GL0022667"	"K00171"
"11_GL0022668"	"K00172"
"11_GL0022684"	"K00626"
"11_GL0023265"	"K01962;K01963"
"11_GL0025221"	"K00656"
"11_GL0026675"	"K00016"
"11_GL0027463"	"K01962"
"11_GL0027465"	"K01961"
"11_GL0028843"	"K00016"
"11_GL0029270"	"K00248"
"11_GL0029978"	"K01734"
"11_GL0030646"	"K00016"
"11_GL0030787"	"K00048"
"11_GL0030995"	"K00086"
"11_GL0031211"	"K00626"
"11_GL0031870"	"K00171"
"11_GL0031899"	"K00248"
"11_GL0031901"	"K00626"
"11_GL0033344"	"K00382"
"11_GL0034642"	"K00925"
"11_GL0034683"	"K00625"
"11_GL0034898"	"K00625"
"11_GL0035264"	"K13922"
"11_GL0038167"	"K01734"
"11_GL0038561"	"K00656"
"11_GL0038658"	"K00172"
"11_GL0040869"	"K00625"
"11_GL0042551"	"K01734"
"11_GL0043820"	"K00248"
"11_GL0044172"	"K00626"
"11_GL0044817"	"K01699"
"11_GL0044818"	"K13919"
"11_GL0045313"	"K00925"
"11_GL0045578"	"K01734"
"11_GL0046465"	"K00169"
"11_GL0046685"	"K00656"
"11_GL0046711"	"K00170"
"11_GL0046925"	"K00626"
"11_GL0048084"	"K00925"
"11_GL0048979"	"K00248"
"11_GL0049474"	"K15024"
"11_GL0052246"	"K00171"
"11_GL0052247"	"K00172"
"11_GL0052564"	"K02160"
"11_GL0052565"	"K01962"
"11_GL0052885"	"K01961"
"11_GL0053513"	"K00656"
"11_GL0053515"	"K00656"
"11_GL0054843"	"K00656"
"11_GL0055231"	"K00048"
"11_GL0058102"	"K01734"
"11_GL0058599"	"K00656"
"11_GL0059079"	"K00925"
"11_GL0059963"	"K00626"
"11_GL0061613"	"K01962;K01963"
"11_GL0061797"	"K00016"
"11_GL0062364"	"K01966"
"11_GL0062475"	"K00925"
"11_GL0064490"	"K00248"
"11_GL0065507"	"K00823"
"11_GL0065660"	"K02160"
"11_GL0066581"	"K01962;K01963"
"11_GL0067474"	"K00625"
"11_GL0067618"	"K00016"
"11_GL0068061"	"K00170"
"11_GL0068569"	"K00048"
"11_GL0068799"	"K00625"
"11_GL0069459"	"K00005"
"11_GL0070412"	"K02160"
"11_GL0070414"	"K01961"
"11_GL0071014"	"K00925"
"11_GL0071107"	"K01895"
"11_GL0071111"	"K00656"
"11_GL0072075"	"K00925"
"11_GL0072223"	"K00169"
"11_GL0072225"	"K00172"
"11_GL0073845"	"K00932"
"11_GL0075777"	"K00656"
"11_GL0078020"	"K00172"
"11_GL0078022"	"K00169"
"11_GL0078023"	"K00170"
"11_GL0078189"	"K02160"
"11_GL0079194"	"K00625"
"11_GL0079909"	"K01963"
"11_GL0079926"	"K01961"
"11_GL0080507"	"K00625"
"11_GL0080673"	"K00656"
"11_GL0081164"	"K00016"
"11_GL0081869"	"K00656"
"11_GL0083335"	"K00625"
"11_GL0083453"	"K00048"
"11_GL0084781"	"K00171"
"11_GL0084782"	"K00169"
"11_GL0087146"	"K00625"
"11_GL0087657"	"K00172"
"11_GL0089620"	"K01962"
"11_GL0089621"	"K01963"
"11_GL0090556"	"K15024"
"11_GL0091223"	"K00248"
"11_GL0091951"	"K05606"
"11_GL0094668"	"K01961"
"11_GL0094669"	"K01963"
"11_GL0094749"	"K01692"
"11_GL0095240"	"K13922"
"11_GL0095345"	"K00625"
"11_GL0097932"	"K01734"
"11_GL0100055"	"K01966"
"11_GL0100148"	"K00625"
"11_GL0100278"	"K00016"
"11_GL0100883"	"K00016"
"11_GL0100938"	"K00016"
"11_GL0101456"	"K00171"
"11_GL0103470"	"K00171"
"11_GL0104032"	"K00382"
"11_GL0106106"	"K01026"
"11_GL0107021"	"K00626"
"11_GL0109121"	"K00626"
"11_GL0111134"	"K00626"
"11_GL0111608"	"K00925"
"11_GL0111901"	"K00925"
"11_GL0112401"	"K00925"
"11_GL0112604"	"K00625"
"11_GL0112834"	"K00625"
"11_GL0112835"	"K00925"
"11_GL0114610"	"K01734"
"11_GL0115182"	"K01734"
"11_GL0117189"	"K01962;K01963"
"11_GL0117190"	"K01961"
"11_GL0117701"	"K05606"
"11_GL0117917"	"K00625"
"11_GL0118300"	"K01961"
"11_GL0119125"	"K00048"
"11_GL0119792"	"K01966"
"11_GL0120470"	"K01961"
"11_GL0120713"	"K00656"
"11_GL0121495"	"K00382"
"11_GL0121628"	"K00170"
"11_GL0122670"	"K01961"
"11_GL0123974"	"K00656"
"11_GL0125904"	"K00382"
"11_GL0127007"	"K00382"
"11_GL0127333"	"K00016"
"11_GL0128397"	"K00016"
"11_GL0128580"	"K01966"
"11_GL0128741"	"K00248"
"11_GL0131357"	"K00656"
"11_GL0131396"	"K00656"
"11_GL0131783"	"K00048"
"11_GL0132281"	"K00656"
"11_GL0133687"	"K13919"
"11_GL0133819"	"K00016"
"11_GL0135546"	"K13920"
"11_GL0135547"	"K13919"
"11_GL0135548"	"K01699"
"11_GL0136521"	"K00656"
"11_GL0138993"	"K00048"
"11_GL0140223"	"K00656"
"11_GL0140225"	"K00656"
"11_GL0140632"	"K01966"
"11_GL0140990"	"K01966"
"11_GL0141586"	"K01026"
"11_GL0142594"	"K00925"
"11_GL0145677"	"K01734"
"11_GL0146110"	"K05606"
"11_GL0149357"	"K00925"
"11_GL0149826"	"K01962;K01963"
"11_GL0150404"	"K00016"
"11_GL0151511"	"K00626"
"11_GL0151878"	"K00382"
"11_GL0152213"	"K00626"
"11_GL0152923"	"K15024"
"11_GL0152999"	"K00925"
"11_GL0153045"	"K00248"
"11_GL0153047"	"K00626"
"11_GL0154011"	"K00656"
"11_GL0156317"	"K01734"
"11_GL0156936"	"K15024"
"11_GL0157232"	"K01734"
"11_GL0159108"	"K00625"
"11_GL0159190"	"K00656"
"12_GL0003449"	"K00656"
"12_GL0003611"	"K00248"
"12_GL0003614"	"K00626"
"12_GL0005484"	"K01962;K01963"
"12_GL0006890"	"K00248"
"12_GL0006907"	"K00656"
"12_GL0009423"	"K01734"
"12_GL0010758"	"K00925"
"12_GL0011359"	"K01962;K01963"
"12_GL0012740"	"K00171"
"12_GL0012741"	"K00172"
"12_GL0013117"	"K05606"
"12_GL0013794"	"K00171"
"12_GL0013795"	"K00172"
"12_GL0014203"	"K15024"
"12_GL0016769"	"K00925"
"12_GL0019964"	"K01692"
"12_GL0020441"	"K00016"
"12_GL0020782"	"K00656"
"12_GL0021789"	"K00656"
"12_GL0023378"	"K00169"
"12_GL0023379"	"K00171"
"12_GL0023380"	"K00172"
"12_GL0024315"	"K01847"
"12_GL0024497"	"K01734"
"12_GL0025168"	"K01734"
"12_GL0025410"	"K01734"
"12_GL0025569"	"K00925"
"12_GL0025570"	"K00625"
"12_GL0026344"	"K00626"
"12_GL0026346"	"K00248"
"12_GL0028246"	"K00248"
"12_GL0029945"	"K00048"
"12_GL0030796"	"K01734"
"12_GL0038059"	"K00248"
"12_GL0040508"	"K01966"
"12_GL0041041"	"K01966"
"12_GL0041350"	"K01895"
"12_GL0041821"	"K00925"
"12_GL0042785"	"K00016"
"12_GL0049116"	"K00925"
"12_GL0050257"	"K00656"
"12_GL0050461"	"K00625"
"12_GL0050960"	"K00248"
"12_GL0051744"	"K00625"
"12_GL0051745"	"K00925"
"12_GL0053701"	"K00925"
"12_GL0055096"	"K00656"
"12_GL0058946"	"K01961"
"12_GL0059119"	"K01847"
"12_GL0059120"	"K01847"
"12_GL0059578"	"K01692"
"12_GL0059840"	"K05606"
"12_GL0059874"	"K15024"
"12_GL0062308"	"K01966"
"12_GL0062414"	"K00248"
"12_GL0063969"	"K00625"
"12_GL0064190"	"K01692"
"12_GL0064371"	"K00625"
"12_GL0064485"	"K05606"
"12_GL0066025"	"K01966"
"12_GL0066410"	"K00248"
"12_GL0066413"	"K00626"
"12_GL0066752"	"K00925"
"12_GL0066776"	"K01734"
"12_GL0073379"	"K01734"
"12_GL0076790"	"K00170"
"12_GL0082803"	"K01966"
"12_GL0084156"	"K05606"
"12_GL0087339"	"K00248"
"12_GL0088236"	"K01734"
"12_GL0092826"	"K00925"
"12_GL0092827"	"K00625"
"12_GL0096994"	"K00248"
"12_GL0103034"	"K01034"
"12_GL0104280"	"K00925"
"12_GL0105846"	"K00625"
"12_GL0106885"	"K00016"
"12_GL0107837"	"K00625"
"12_GL0108233"	"K01847"
"12_GL0109741"	"K01034"
"12_GL0110281"	"K00248"
"12_GL0114760"	"K01966"
"12_GL0114821"	"K00172"
"12_GL0116503"	"K01734"
"12_GL0116585"	"K00656"
"12_GL0117145"	"K01734"
"12_GL0123354"	"K01895"
"12_GL0125199"	"K00248"
"12_GL0125380"	"K00656"
"12_GL0125927"	"K01962;K01963"
"12_GL0129514"	"K00656"
"12_GL0129931"	"K01966"
"12_GL0130039"	"K01734"
"12_GL0131547"	"K00656"
"12_GL0137372"	"K00016"
"12_GL0138398"	"K00016"
"12_GL0138721"	"K09788"
"12_GL0146106"	"K00625"
"13_GL0003412"	"K00248"
"13_GL0003413"	"K00626"
"13_GL0005125"	"K01962"
"13_GL0005129"	"K01963"
"13_GL0006589"	"K01966"
"13_GL0019660"	"K00625"
"13_GL0019661"	"K00925"
"13_GL0020961"	"K01962"
"13_GL0026222"	"K00625"
"13_GL0027139"	"K00656"
"13_GL0027140"	"K00656"
"13_GL0028963"	"K00048"
"13_GL0030352"	"K01895"
"13_GL0035276"	"K00248"
"13_GL0036090"	"K01734"
"13_GL0037172"	"K05606"
"13_GL0051706"	"K01847"
"13_GL0051961"	"K00048"
"13_GL0055408"	"K01963"
"13_GL0059684"	"K01692"
"13_GL0071434"	"K01034"
"13_GL0073064"	"K00925"
"13_GL0077814"	"K01847"
"13_GL0094405"	"K01734"
"14_GL0004061"	"K05606"
"14_GL0007098"	"K00925"
"14_GL0008097"	"K00171"
"14_GL0008098"	"K00172"
"14_GL0009362"	"K00656"
"14_GL0011493"	"K00005"
"14_GL0011991"	"K01966"
"14_GL0013179"	"K00656"
"14_GL0015945"	"K00016"
"14_GL0018387"	"K00140"
"14_GL0018593"	"K00170"
"14_GL0019177"	"K00656"
"14_GL0019720"	"K01962;K01963"
"14_GL0019978"	"K00925"
"14_GL0020544"	"K00086"
"14_GL0020646"	"K00172"
"14_GL0023050"	"K00625"
"14_GL0024512"	"K01734"
"14_GL0028355"	"K00171"
"14_GL0028362"	"K00656"
"14_GL0031432"	"K00656"
"14_GL0037505"	"K01966"
"14_GL0040165"	"K05606"
"14_GL0041491"	"K01734"
"14_GL0041681"	"K00656"
"14_GL0042103"	"K00382"
"14_GL0042586"	"K00625"
"14_GL0044526"	"K05606"
"14_GL0044714"	"K00170"
"14_GL0045292"	"K00625"
"14_GL0048391"	"K00925"
"14_GL0049217"	"K00656"
"14_GL0051156"	"K08325"
"14_GL0053743"	"K00016"
"14_GL0058740"	"K01734"
"14_GL0059864"	"K00625"
"14_GL0061159"	"K01962;K01963"
"14_GL0061938"	"K00925"
"14_GL0065360"	"K00656"
"14_GL0065366"	"K00656"
"14_GL0067090"	"K01961"
"14_GL0068063"	"K00016"
"14_GL0071400"	"K00656"
"14_GL0072335"	"K00925"
"14_GL0072893"	"K02160"
"14_GL0073755"	"K00925"
"14_GL0074889"	"K02160"
"14_GL0074891"	"K01961"
"14_GL0074892"	"K01963"
"14_GL0074893"	"K01962"
"14_GL0075233"	"K01895"
"14_GL0077355"	"K00656"
"14_GL0080235"	"K00248"
"14_GL0081760"	"K00016"
"14_GL0084893"	"K00626"
"14_GL0089010"	"K15024"
"14_GL0089296"	"K00925"
"14_GL0089297"	"K00625"
"14_GL0091295"	"K00656"
"14_GL0104713"	"K00656"
"14_GL0106596"	"K01962;K01963"
"14_GL0107220"	"K00925"
"14_GL0108573"	"K01847"
"14_GL0108793"	"K01961"
"14_GL0112100"	"K00626"
"14_GL0112243"	"K00656"
"14_GL0114734"	"K00169"
"14_GL0119743"	"K00656"
"14_GL0125831"	"K01966"
"14_GL0125935"	"K00925"
"14_GL0125950"	"K00016"
"14_GL0126760"	"K00382"
"14_GL0127479"	"K00625"
"14_GL0129848"	"K01734"
"14_GL0131684"	"K05606"
"14_GL0133216"	"K00656"
"14_GL0133217"	"K00656"
"14_GL0133218"	"K00656"
"14_GL0133219"	"K00656"
"14_GL0135117"	"K00171"
"14_GL0137562"	"K01903"
"15_GL0003483"	"K00382"
"15_GL0010098"	"K00140"
"15_GL0011168"	"K08325"
"15_GL0016058"	"K01734"
"15_GL0016377"	"K01961"
"15_GL0017371"	"K01962"
"15_GL0017894"	"K00048"
"15_GL0019047"	"K01034"
"15_GL0024498"	"K00248"
"15_GL0024729"	"K00248"
"15_GL0038928"	"K00925;K15024"
"15_GL0040677"	"K01734"
"15_GL0043727"	"K01962;K01963"
"15_GL0046857"	"K00086"
"15_GL0050360"	"K01734"
"15_GL0051288"	"K00171"
"15_GL0051603"	"K01847"
"15_GL0052725"	"K01692"
"15_GL0057509"	"K00016"
"15_GL0060195"	"K00171"
"15_GL0063823"	"K00656"
"15_GL0064107"	"K00016"
"15_GL0071813"	"K00656"
"15_GL0074005"	"K00823"
"15_GL0075243"	"K01692"
"15_GL0075244"	"K01692"
"15_GL0082807"	"K01962"
"15_GL0086166"	"K00925"
"15_GL0092127"	"K01963"
"15_GL0092641"	"K00169"
"15_GL0093277"	"K00172"
"15_GL0093278"	"K00171"
"15_GL0093545"	"K15024"
"15_GL0095336"	"K01966"
"15_GL0098567"	"K00625"
"15_GL0098793"	"K01574"
"15_GL0102432"	"K00925"
"15_GL0109737"	"K01734"
"15_GL0110119"	"K00925"
"15_GL0113026"	"K00925"
"15_GL0113806"	"K01734"
"15_GL0119035"	"K00656"
"15_GL0119438"	"K00626"
"15_GL0119876"	"K00656"
"15_GL0123643"	"K01782"
"15_GL0125507"	"K01962;K01963"
"15_GL0125594"	"K01966"
"15_GL0125699"	"K01963"
"15_GL0127670"	"K01026"
"15_GL0128370"	"K13921"
"15_GL0128371"	"K13922"
"15_GL0128813"	"K13788"
"15_GL0129980"	"K01847"
"15_GL0131119"	"K09788"
"15_GL0131509"	"K01734"
"15_GL0135115"	"K00625"
"15_GL0135466"	"K00656"
"15_GL0135491"	"K01966"
"15_GL0137402"	"K00925"
"15_GL0137916"	"K01903"
"15_GL0137917"	"K01902"
"15_GL0138676"	"K00382"
"15_GL0138972"	"K01966"
"15_GL0142403"	"K00656"
"15_GL0142449"	"K00625"
"15_GL0142450"	"K00925"
"15_GL0143494"	"K00656"
"15_GL0144005"	"K01720"
"15_GL0144006"	"K01659"
"15_GL0144007"	"K03417"
"15_GL0147433"	"K01825"
"15_GL0148222"	"K01734"
"15_GL0148544"	"K00048"
"15_GL0148598"	"K01962;K01963"
"15_GL0148599"	"K01961"
"15_GL0149608"	"K01682"
"15_GL0150864"	"K00382"
"15_GL0151146"	"K13923"
"15_GL0151151"	"K13920"
"15_GL0151153"	"K01699"
"15_GL0151280"	"K01962"
"15_GL0153595"	"K00086"
"15_GL0153921"	"K00925"
"15_GL0154273"	"K08325"
"15_GL0154516"	"K01966"
"15_GL0155225"	"K00172"
"15_GL0155226"	"K00171"
"15_GL0155227"	"K00169"
"15_GL0155228"	"K00170"
"15_GL0155725"	"K00823"
"15_GL0156116"	"K00170"
"15_GL0156220"	"K00656"
"15_GL0156388"	"K00005"
"15_GL0157175"	"K01026"
"15_GL0157606"	"K00382"
"15_GL0157832"	"K02160"
"15_GL0158931"	"K01847"
"15_GL0163319"	"K00005"
"15_GL0165071"	"K00048"
"15_GL0165156"	"K01962"
"15_GL0165158"	"K01963"
"15_GL0165159"	"K01961"
"15_GL0165161"	"K02160"
"15_GL0166790"	"K00625"
"15_GL0166791"	"K00925"
"15_GL0166792"	"K00925"
"15_GL0169426"	"K00016"
"15_GL0170119"	"K01895"
"15_GL0170167"	"K00626"
"15_GL0173659"	"K00656"
"16_GL0000106"	"K00925"
"16_GL0001489"	"K00048"
"16_GL0002796"	"K01966"
"16_GL0004145"	"K00625"
"16_GL0004506"	"K01961"
"16_GL0004507"	"K02160"
"16_GL0007344"	"K01895"
"16_GL0008213"	"K01895"
"16_GL0009121"	"K01895"
"16_GL0016414"	"K00625"
"16_GL0017006"	"K05606"
"16_GL0022733"	"K05606"
"16_GL0024937"	"K01966"
"16_GL0025435"	"K00048"
"16_GL0026439"	"K00656"
"16_GL0028178"	"K01847"
"16_GL0029343"	"K01966"
"16_GL0031769"	"K00925"
"16_GL0031770"	"K00625"
"16_GL0032106"	"K00016"
"16_GL0033002"	"K00016"
"16_GL0035185"	"K01966"
"16_GL0037304"	"K01961"
"16_GL0038678"	"K13922"
"16_GL0042777"	"K00625"
"16_GL0043982"	"K00625"
"16_GL0044751"	"K00382"
"16_GL0045026"	"K00656"
"16_GL0049037"	"K00248"
"16_GL0056640"	"K00925"
"16_GL0057054"	"K01847"
"16_GL0059324"	"K00925"
"16_GL0059971"	"K00656"
"16_GL0060532"	"K01902"
"16_GL0064789"	"K01966"
"16_GL0069587"	"K01847"
"16_GL0070490"	"K00016"
"16_GL0070514"	"K00656"
"16_GL0072727"	"K00169"
"16_GL0076170"	"K00170"
"16_GL0076171"	"K00169"
"16_GL0079130"	"K00656"
"16_GL0080923"	"K00656"
"16_GL0080924"	"K00656"
"16_GL0081097"	"K01895"
"16_GL0081485"	"K01895"
"16_GL0086238"	"K00382"
"16_GL0089019"	"K00656"
"16_GL0090263"	"K01895"
"16_GL0095943"	"K01962;K01963"
"16_GL0096546"	"K00005"
"16_GL0099598"	"K00382"
"16_GL0100682"	"K00170"
"16_GL0101843"	"K00656"
"16_GL0103618"	"K00016"
"16_GL0104478"	"K00925"
"16_GL0104479"	"K13788"
"16_GL0105101"	"K01961"
"16_GL0108748"	"K00048"
"16_GL0113729"	"K01734"
"16_GL0114485"	"K00016"
"16_GL0114897"	"K00172"
"17_GL0001829"	"K01966"
"17_GL0001844"	"K00625"
"17_GL0005632"	"K00626"
"17_GL0006542"	"K00140"
"17_GL0006777"	"K01026"
"17_GL0006856"	"K00170"
"17_GL0009182"	"K00656"
"17_GL0010720"	"K00005"
"17_GL0010956"	"K01692"
"17_GL0011728"	"K00925"
"17_GL0014375"	"K00382"
"17_GL0014459"	"K15024"
"17_GL0015000"	"K01961"
"17_GL0015001"	"K02160"
"17_GL0018087"	"K01895"
"17_GL0018430"	"K13920"
"17_GL0019521"	"K00625"
"17_GL0020662"	"K00625"
"17_GL0020663"	"K00925"
"17_GL0021254"	"K01734"
"17_GL0021706"	"K00925"
"17_GL0021745"	"K15024"
"17_GL0023754"	"K00169"
"17_GL0023930"	"K00248"
"17_GL0027998"	"K00169"
"17_GL0028105"	"K00925"
"17_GL0029725"	"K00925;K15024"
"17_GL0030486"	"K11263"
"17_GL0030751"	"K01966"
"17_GL0031127"	"K00626"
"17_GL0033249"	"K00016"
"17_GL0034272"	"K05606"
"17_GL0035254"	"K01962;K01963"
"17_GL0035255"	"K01961"
"17_GL0035257"	"K02160"
"17_GL0036656"	"K00248"
"17_GL0039636"	"K01895"
"17_GL0040091"	"K00656"
"17_GL0040537"	"K00626"
"17_GL0044639"	"K13919"
"17_GL0046553"	"K00169"
"17_GL0046554"	"K00170"
"17_GL0047100"	"K00382"
"17_GL0048994"	"K00626"
"17_GL0049203"	"K00626"
"17_GL0049435"	"K13788"
"17_GL0051133"	"K00016"
"17_GL0051407"	"K00626"
"17_GL0052570"	"K01961"
"17_GL0059201"	"K00170"
"17_GL0059202"	"K00169"
"17_GL0059203"	"K00171"
"17_GL0059204"	"K00172"
"17_GL0063285"	"K00172"
"17_GL0063287"	"K00169"
"17_GL0063288"	"K00170"
"17_GL0063743"	"K00170"
"17_GL0064119"	"K00016"
"17_GL0064542"	"K01895"
"17_GL0064567"	"K01966"
"17_GL0065028"	"K00248"
"17_GL0067708"	"K01966"
"17_GL0068251"	"K02160"
"17_GL0069225"	"K00925"
"17_GL0069416"	"K01734"
"17_GL0070202"	"K01966"
"17_GL0070640"	"K01895"
"17_GL0071095"	"K00016"
"17_GL0072732"	"K01966"
"17_GL0072781"	"K00656"
"17_GL0073473"	"K01902"
"17_GL0073680"	"K01734"
"17_GL0074965"	"K00625"
"17_GL0075471"	"K00625"
"17_GL0075810"	"K00656"
"17_GL0076332"	"K01962;K01963"
